Ball1;Ball2;ProphecyText;EntityType;SelfCondition;Entity1Conditions;Entity2Conditions;Entity3Conditions;SelfEffect;Entity1Effect;Entity2Effect;Entity3Effect;;;;;;;;;;;
Finances;Santé;Recevant de l'aide financière de {0} que Connor aura beaucoup aidé en {1}, il pourra s'acheter une jambe de bois top performance;Character,Place;HealthMax,30;"BondMin,70
MoneyMin,60";BondMin,50;;HealthPlus,30;"BondPlus,10
MoneyPlus,-10";;;;;;;;;;;;;
Finances;Carrière;Connor recevra une prime à son poste de {0} car sa connaissance de {1} l'aura aidé dans sa tâche;Activity,Activity;;IsJob,True;;BondMin,75;CareerPlus,10;BondPlus,20;;;;;;;;;;;;;
Finances;Nature;Alors qu'il se promènera au bord de mer près de {0}, Connor trébuchera sur un vieux coffre dépassant du sable. Dedans, il trouvera un {1} d'une valeur inestimable.;Place,Item;;"ItemType,Artefact
BondMin,20
StateMax,40";BondMax,0;;;BondPLus,10;"BondPlus,10
StatePlus,80";;;;;;;;;;;;
Finances;Amitié;{0} sera au comble du bonheur quand Connor lui apportera le coup de pouce financier nécessaire pour fonder son commerce de {1};Character,Activity;;"BondMin,20
MoneyMax,50";;;FinancesPlus,-5;"BondPlus,30
MoneyPlus,10";BondPlus,10;;;;;;;;;;;;
Finances;Amour;Comme il saura que son ennemi {0} sera actif dans le secteur du {1}, Connor fera en sorte de jouer en bourse pour le ruiner;Character,Activity;;"BondMin,30
MoneyMin,50";BondMin,40;;;MoneyPlus,-20;PopularityPlus,-20;;;;;;;;;;;;
Finances;Spiritualité;Pendant une conversation philosophique avec {0} à {1} trop compliquée pour lui, Connor comprendra tout de travers et partira investir en bourse dans les {2} avec succès;Character,Place,Item;;BondMin,30;PlaceType,City;PopularityMax,50;FinancesPlus,10;;BondPlus,5;"PopularityPlus,10
BondPlus,10";;;;;;;;;;;
Santé;Carrière;Alors qu'il sera en mission à {0} avec {1}, ce dernier risquera de mourir en tombant dans un endroit dangereux, ce dont Connor le protégera grâce à son agiltié et sa force. ;Place,Character;;PlaceType,Nature;IsBoss;;CareerPlus,10;StatePlus,-10;BondPlus,10;;;;;;;;;;;;
Santé;Nature;Connor gagnera à un jeu télévisé un voyage all-inclusive à {0} où il invitera {1}, passant des vacances vivifiantes;Place,Character;;PlaceType,Nature;"CharacterType,Crush
BondMin,30";;HealthPlus,10;"BondMin,10
StatePlus,10";BondPlus,10;;;;;;;;;;;;
Santé;Amitié;Connor prit en pitié {0}, bien mal en point des suites d'un accident avec {1}. Il décidera donc de l'aider à sa rééducation en pratiquant le {2} avec lui/elle, qui lui en sera toujours reconnaissant;Character,Item,Activity;;HealthMax,30;BondMin,30;BondMin,20;;"BondPlus,20
HealthPlus,20";BondPlus,-10;BondPlus,5;;;;;;;;;;;
Santé;Amour;Afin de trouver une excuse pour fréquenter régulièrement {0}, Connor acceptera à reculons sa proposition de s'inscrire au cours de {1} ensemble, où il s'y plaira contre toute attente;Character,Activity;;"CharacterType,Crush
BondMin,30";BondMax,20;;HealthPlus,5;BondPlus,10;BondPlus,20;;;;;;;;;;;;
