Nom;Bond;Type;AssociatedPlaces;Popularity
wood carving;10;Art;City;20
surfing;60;Sport;Nature;60
playing football;70;Sport;City,Nature;30
hiding in closets;80;Leisure;City;0
playing the fiddle;30;Art;City,Nature;40
shearing sheeps;100;Leisure;Nature;10
drinking Guiness;20;Leisure;City,Nature;80
dancing;10;Art;City,Nature;90
going to the pub;50;Leisure;City,Nature;70
commenting on football matches;90;Leisure;City,Nature;100
counting sheeps;100;Job;Nature;20
running a pub;20;Job;City;60
fishing;10;Job;Nature;30
mowing and gardening;50;Job;Nature;0
eating at the restaurant;90;Leisure;City,Nature;40
delivering justice;10;Job;City;10
selling fish and chips;60;Job;City;80
cooking local specialties;70;Job;City;90
